ordinal,mangled_name
244,"??6OMediaStreamOperators@@QAEAAV0@AAD@Z"
245,"??6OMediaStreamOperators@@QAEAAV0@AAE@Z"
246,"??6OMediaStreamOperators@@QAEAAV0@AAF@Z"
247,"??6OMediaStreamOperators@@QAEAAV0@AAG@Z"
248,"??6OMediaStreamOperators@@QAEAAV0@AAH@Z"
249,"??6OMediaStreamOperators@@QAEAAV0@AAI@Z"
250,"??6OMediaStreamOperators@@QAEAAV0@AAJ@Z"
251,"??6OMediaStreamOperators@@QAEAAV0@AAK@Z"
252,"??6OMediaStreamOperators@@QAEAAV0@AAM@Z"
253,"??6OMediaStreamOperators@@QAEAAV0@AAN@Z"
254,"??6OMediaStreamOperators@@QAEAAV0@AAO@Z"
255,"??6OMediaStreamOperators@@QAEAAV0@AAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z"
256,"??6OMediaStreamOperators@@QAEAAV0@AAVOMediaClassStreamer@@@Z"
257,"??6OMediaStreamOperators@@QAEAAV0@AA_N@Z"
258,"??6OMediaStreamOperators@@QAEAAV0@PAD@Z"
259,"??6OMediaStreamOperators@@QAEAAV0@PAE@Z"
260,"??6OMediaStreamOperators@@QAEAAV0@PAV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z"
261,"??6OMediaStreamOperators@@QAEAAV0@PAVOMediaClassStreamer@@@Z"
262,"??_FOMediaApplication@@QAEXXZ"
263,"??_FOMediaMoveableMem@@QAEXXZ"
264,"??_FOMediaViewPort@@QAEXXZ"
265,"?activate@OMediaFullscreenWindow@@UAEXXZ"
266,"?activate@OMediaSingleWindow@@UAEXXZ"
267,"?activate@OMediaWindow@@UAEXXZ"
268,"?activated@OMediaFullscreenWindow@@UAEXXZ"
269,"?activated@OMediaSingleWindow@@UAEXXZ"
270,"?activated@OMediaWindow@@UAEXXZ"
271,"?add_button@OMediaRadioGroup@@UAEXPAVOMediaAbstractButton@@@Z"
272,"?add_millisecs@OMediaTimeCounter@@SAXJ@Z"
273,"?add_vertex@OMedia3DShape@@UAEKAAVOMedia3DPoint@@@Z"
274,"?addlistener@OMediaBroadcaster@@UAEXPAVOMediaListener@@@Z"
275,"?advance_frame@OMediaAnim@@UAE_N_N@Z"
276,"?allocate_particle@OMediaParticleEmitter@@QAEPAVOMediaAbstractParticle@@XZ"
277,"?angle_between@OMedia3DVector@@QBEFABV1@@Z"
278,"?angles@OMedia3DVector@@QAEXAAF0@Z"
279,"?anim_conv_mode@OMedia3DShapeConverter@@1W4omt_3DAnimConvertMode@@A"
280,"?anim_periodical@OMediaAnimPeriodical@@1PAV1@A"
281,"?approximate_size_changed@OMediaDBObject@@UAEXXZ"
282,"?ask_user@OMediaFilePath@@UAE_NPAVOMediaWindow@@AAVOMediaAskUserFilters@@_NV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@33@Z"
283,"?assign@OMedia3DMaterial@@QAEXABV1@@Z"
284,"?base@OMediaProfiler@@2V1@A"
285,"?begin@OMediaPipeline@@UAEXG@Z"
286,"?begin_render@OMediaDXRenderPort@@UAE_NXZ"
287,"?begin_render@OMediaOMTRenderPort@@UAE_NXZ"
288,"?block_clip@OMediaBlitter@@SA_NAAVOMediaRect@@00@Z"
289,"?block_preparecliprects@OMediaBlitter@@SA_NAAVOMediaRect@@00JJ@Z"
290,"?bounds_changed@OMediaFullscreenWindow@@UAEXXZ"
291,"?bounds_changed@OMediaSingleWindow@@UAEXXZ"
292,"?bounds_changed@OMediaWindow@@UAEXXZ"
293,"?broadcast_message@OMediaBroadcaster@@UAEXJPAX@Z"
294,"?buffer_user@OMediaPipeline@@1JA"
295,"?cache_size@OMediaDataBase@@1KA"
296,"?capture_frame@OMediaDXRenderPort@@UAEXAAVOMediaCanvas@@@Z"
297,"?capture_frame@OMediaOMTRenderPort@@UAEXAAVOMediaCanvas@@@Z"
298,"?capture_frame@OMediaRenderPort@@UAEXAAVOMediaCanvas@@@Z"
299,"?capture_frame@OMediaViewPort@@UAEXAAVOMediaCanvas@@_N@Z"
300,"?center@OMedia3DShape@@UAEXXZ"
301,"?check_cache_full@OMediaDataBase@@SAXXZ"
302,"?check_mouse_activate@OMediaViewPort@@MAEXPAVOMediaEvent@@@Z"
303,"?check_texture_size@OMediaDXRenderTarget@@UAEXAAJ0@Z"
304,"?cleanup_window@OMediaFullscreenWindow@@MAEXXZ"
305,"?cleanup_window@OMediaSingleWindow@@MAEXXZ"
306,"?clear_all_buffers@OMediaDXRenderPort@@UAEXAAVOMediaFARGBColor@@@Z"
307,"?clear_all_buffers@OMediaPipeline@@UAEXAAVOMediaFARGBColor@@@Z"
308,"?clear_colorbuffer@OMediaDXRenderPort@@UAEXAAVOMediaFARGBColor@@PAVOMediaRect@@@Z"
309,"?clear_colorbuffer@OMediaOMTRenderPort@@UAEXAAVOMediaFARGBColor@@PAVOMediaRect@@@Z"
310,"?clear_colorbuffer@OMediaPipeline@@UAEXAAVOMediaFARGBColor@@PAVOMediaRect@@@Z"
311,"?clear_zbuffer@OMediaDXRenderPort@@UAEXPAVOMediaRect@@@Z"
312,"?clear_zbuffer@OMediaOMTRenderPort@@UAEXPAVOMediaRect@@@Z"
313,"?clear_zbuffer@OMediaPipeline@@UAEXPAVOMediaRect@@@Z"
314,"?clicked@OMediaAbstractButton@@UAEXPAVOMediaPickResult@@_NPAVOMediaBroadcaster@@PAVOMediaElement@@@Z"
